X	Y	T
15.77286	100.10217	3913
15.84564	100.30281	4009
15.89668	100.13923	4036
16.74543	100.23202	3821
16.74543	100.23202	3821
16.43194	100.34381	4072
16.14625	99.77969	4372
16.29361	99.63947	4372
16.54948	100.48838	4374
15.83615	100.26044	4402
16.55738	100.48433	4408
56.23	-117.72	3877
56.23	-117.72	3878
56.18336	-118.4528	4974
56.23	-117.72	3877
53.004	-113.05	246
53.45	-112.53	239
56.22	-118.6	239
56.25	-117.8	212
56.23	-117.72	4241
52.49	-112.91	2773
52.49	-112.91	2797
52.49	-112.91	2797
52.49	-112.91	2797
56.16	-118.51	3143
56.06	-118.38	4974
56.16	-118.51	3877
56.16	-118.51	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.16	-118.51	3878
56.16	-118.51	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.16	-118.51	3879
56.16	-118.51	3879
56.16	-118.51	3879
56.22	-118.6	3879
56.16	-118.51	4241
56.22	-118.6	4241
56.23	-117.72	4241
56.16	-118.51	4243
53.11	-112.95	225
53.45	-112.53	231
53.45	-112.53	231
53.45	-112.53	231
53.35	-113.01	232
53.11	-112.95	224
53.004	-113.05	232
53.004	-113.05	238
53.35	-113.01	246
53.35	-113.01	246
52.73	-110.58	222
53.45	-112.53	238
53.45	-112.53	238
56.16	-118.51	221
56.22	-118.6	221
53.55	-113.5	225
56.16	-118.51	223
50.67	-114.27	216
52.49	-112.91	223
53.41	-112.96	575
52.49	-112.91	1677
52.49	-112.91	1688
56.23	-117.72	1689
56.25	-117.8	2407
56.16	-118.51	2413
56.22	-118.6	2413
56.23	-117.72	2413
56.25	-117.8	2787
56.25	-117.8	2787
56.16	-118.51	2791
56.16	-118.51	2791
52.49	-112.91	2772
52.49	-112.91	2797
56.22	-118.6	3141
56.16	-118.51	3143
56.22	-118.6	3143
52.57	-112.97	3519
56.16	-118.51	4606
56.16	-118.51	4606
56.16	-118.51	4606
56.23	-117.72	4606
56.23	-117.72	4606
56.23	-117.72	4606
56.23	-117.72	4606
56.18336	-118.4528	4974
56.18336	-118.4528	4975
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
53.004	-113.05	224
52.49	-112.91	1311
56.22	-118.6	2035
52.49	-112.91	2773
52.57	-112.97	3519
52.49	-112.91	2797
56.16	-118.51	4241
53.004	-113.05	217
52.49	-112.91	2773
52.49	-112.91	2797
52.49	-112.91	2797
52.49	-112.91	2797
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.23	-117.72	3877
56.16	-118.51	3878
56.16	-118.51	3878
56.16	-118.51	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.23	-117.72	3878
56.16	-118.51	3879
56.16	-118.51	3879
56.16	-118.51	3879
56.16	-118.51	3879
56.16	-118.51	3879
56.16	-118.51	4241
56.22	-118.6	4241
56.22	-118.6	4241
56.22	-118.6	4241
56.22	-118.6	4241
56.23	-117.96	4241
56.16	-118.51	4241
56.23	-117.72	4241
56.23	-117.72	4241
56.16	-118.51	4243
56.16	-118.51	4243
56.22	-118.6	4243
53.11	-112.95	219
53.45	-112.53	223
53.45	-112.53	224
53.45	-112.53	224
53.004	-113.05	232
53.004	-113.05	238
53.35	-113.01	241
52.73	-110.58	222
53.45	-112.53	238
53.11	-112.95	229
56.22	-118.6	221
56.23	-117.72	221
56.23	-117.72	221
50.45	-111.65	215
50.45	-111.65	215
56.16	-118.51	223
56.16	-118.51	223
50.67	-114.27	219
56.22	-118.6	228
56.25	-117.8	945
56.16	-118.51	951
